Be07,Be08,Be09,Be10,Be11,Sector
-71.0,-74.0,-68.0,-77.0,-77.0,1.0
-71.0,-72.0,-71.0,-76.0,-83.0,1.0
-71.0,-74.0,-69.0,-78.0,-77.0,1.0
-71.0,-72.0,-71.0,-74.0,-76.0,1.0
-71.0,-74.0,-69.0,-77.0,-76.0,1.0
-71.0,-72.0,-69.0,-79.0,-78.0,1.0
-71.0,-73.0,-71.0,-78.0,-83.0,1.0
-71.0,-72.0,-71.0,-79.0,-78.0,1.0
-71.0,-74.0,-69.0,-78.0,-82.0,1.0
-69.0,-72.0,-71.0,-79.0,-76.0,1.0
-71.0,-73.0,-69.0,-76.0,-77.0,1.0
-70.0,-72.0,-71.0,-78.0,-83.0,1.0
-70.0,-73.0,-69.0,-76.0,-77.0,1.0
-71.0,-72.0,-68.0,-79.0,-77.0,1.0
-71.0,-73.0,-71.0,-76.0,-75.0,1.0
-71.0,-74.0,-68.0,-78.0,-76.0,1.0
-69.0,-72.0,-69.0,-76.0,-75.0,1.0
-70.0,-73.0,-68.0,-78.0,-83.0,1.0
-71.0,-74.0,-71.0,-76.0,-77.0,1.0
-70.0,-72.0,-69.0,-78.0,-76.0,1.0
-71.0,-74.0,-68.0,-78.0,-76.0,1.0
-69.0,-71.0,-69.0,-78.0,-76.0,1.0
-69.0,-73.0,-69.0,-79.0,-77.0,1.0
-72.0,-73.0,-71.0,-78.0,-74.0,1.0
-69.0,-73.0,-71.0,-79.0,-75.0,1.0
-72.0,-72.0,-71.0,-78.0,-75.0,1.0
-71.0,-74.0,-68.0,-76.0,-76.0,1.0
-71.0,-72.0,-69.0,-78.0,-75.0,1.0
-70.0,-72.0,-69.0,-79.0,-84.0,1.0
-71.0,-74.0,-69.0,-78.0,-75.0,1.0
-70.0,-74.0,-69.0,-79.0,-75.0,1.0
-71.0,-74.0,-67.0,-78.0,-77.0,1.0
-70.0,-74.0,-68.0,-76.0,-82.0,1.0
-70.0,-72.0,-71.0,-78.0,-77.0,1.0
-71.0,-73.0,-71.0,-76.0,-75.0,1.0
-71.0,-74.0,-69.0,-76.0,-83.0,1.0
-70.0,-72.0,-69.0,-79.0,-77.0,1.0
-70.0,-72.0,-69.0,-75.0,-76.0,1.0
-69.0,-72.0,-68.0,-78.0,-77.0,1.0
-71.0,-74.0,-69.0,-75.0,-83.0,1.0
-71.0,-72.0,-71.0,-78.0,-75.0,1.0
-71.0,-74.0,-69.0,-79.0,-84.0,1.0
-71.0,-74.0,-69.0,-78.0,-84.0,1.0
-71.0,-72.0,-69.0,-76.0,-76.0,1.0
-72.0,-74.0,-68.0,-78.0,-85.0,1.0
-70.0,-75.0,-69.0,-77.0,-75.0,1.0
-70.0,-74.0,-69.0,-77.0,-75.0,1.0
-71.0,-74.0,-71.0,-75.0,-83.0,1.0
