Be07,Be08,Be09,Be10,Be11,Sector
-67.0,-75.0,-71.0,-73.0,-71.0,1
-69.0,-70.0,-70.0,-70.0,-70.0,1
-76.0,-78.0,-73.0,-74.0,-77.0,1
-63.0,-68.0,-65.0,-78.0,-82.0,1
-71.0,-67.0,-69.0,-72.0,-66.0,1
-64.0,-64.0,-66.0,-63.0,-66.0,1
-66.0,-66.0,-65.0,-68.0,-71.0,1
-66.0,-67.0,-66.0,-68.0,-68.0,1
-66.0,-63.0,-68.0,-74.0,-95.0,1
-78.0,-72.0,-73.0,-93.0,-76.0,1
-79.0,-76.0,-76.0,-79.0,-80.0,1
-78.0,-80.0,-79.0,-85.0,-80.0,1
-78.0,-76.0,-77.0,-83.0,-95.0,1
-86.0,-78.0,-77.0,-79.0,-74.0,1
-73.0,-77.0,-78.0,-76.0,-83.0,1
-89.0,-81.0,-79.0,-92.0,-74.0,1
-71.0,-76.0,-73.0,-72.0,-68.0,1
-69.0,-71.0,-78.0,-69.0,-67.0,1
-68.0,-70.0,-71.0,-79.0,-75.0,1
-70.0,-67.0,-74.0,-73.0,-68.0,1
-74.0,-70.0,-74.0,-71.0,-58.0,1
-70.0,-75.0,-78.0,-80.0,-78.0,1
-73.0,-84.0,-80.0,-73.0,-70.0,1
-83.0,-67.0,-77.0,-72.0,-73.0,1
-75.0,-77.0,-82.0,-81.0,-70.0,1
-73.0,-74.0,-80.0,-77.0,-80.0,1
-67.0,-64.0,-62.0,-64.0,-66.0,1
-69.0,-66.0,-72.0,-68.0,-67.0,1
-69.0,-72.0,-75.0,-80.0,-77.0,1
-75.0,-73.0,-82.0,-77.0,-76.0,1
-70.0,-71.0,-75.0,-81.0,-80.0,1
-74.0,-77.0,-92.0,-75.0,-69.0,1
-67.0,-65.0,-71.0,-81.0,-74.0,1
-77.0,-81.0,-86.0,-76.0,-70.0,1
-67.0,-71.0,-77.0,-70.0,-77.0,1
-80.0,-86.0,-75.0,-73.0,-73.0,1
-70.0,-68.0,-70.0,-73.0,-75.0,1
-74.0,-74.0,-81.0,-78.0,-68.0,1
-71.0,-71.0,-72.0,-70.0,-71.0,1
-70.0,-69.0,-70.0,-74.0,-77.0,1
-74.0,-73.0,-73.0,-76.0,-81.0,1
-75.0,-76.0,-73.0,-68.0,-66.0,1
-68.0,-87.0,-75.0,-74.0,-75.0,1
-72.0,-94.0,-75.0,-75.0,-69.0,1
-70.0,-67.0,-69.0,-68.0,-72.0,1
-68.0,-64.0,-66.0,-44.0,-61.0,1
-64.0,-61.0,-63.0,-84.0,-70.0,1
-70.0,-77.0,-72.0,-67.0,-74.0,1
-80.0,-82.0,-73.0,-80.0,-90.0,1
-78.0,-73.0,-69.0,-68.0,-77.0,1
-77.0,-96.0,-78.0,-77.0,-77.0,1
