Be07,Be08,Be09,Be10,Be11,Sector
-56,-60,-56,-61,-74,1
-53,-59,-69,-61,-70,1
-53,-59,-56,-65,-70,1
-57,-58,-56,-62,-64,1
-57,-57,-69,-62,-64,1
-53,-60,-70,-67,-70,1
-52,-60,-53,-62,-70,1
-63,-56,-56,-66,-63,1
-64,-56,-56,-66,-64,1
-52,-57,-56,-62,-74,1
-52,-59,-56,-61,-74,1
-64,-58,-56,-67,-74,1
-64,-58,-56,-66,-74,1
-53,-59,-56,-62,-70,1
-52,-58,-54,-62,-70,1
-64,-57,-70,-66,-74,1
-64,-60,-70,-65,-74,1
-53,-60,-54,-67,-74,1
-53,-58,-53,-65,-74,1
-57,-60,-70,-65,-70,1
-57,-60,-70,-67,-70,1
-57,-58,-53,-66,-74,1
-57,-58,-53,-67,-74,1
-53,-61,-70,-62,-70,1
-52,-60,-70,-67,-70,1
-57,-59,-56,-67,-73,1
-55,-59,-56,-62,-74,1
-57,-60,-54,-62,-70,1
-53,-60,-53,-67,-70,1
-52,-58,-70,-67,-75,1
-64,-58,-70,-62,-74,1
-64,-61,-53,-65,-74,1
-53,-60,-53,-65,-74,1
-52,-58,-56,-64,-69,1
-57,-57,-70,-62,-70,1
-57,-59,-70,-62,-74,1
-53,-59,-54,-65,-74,1
-52,-59,-69,-65,-70,1
-64,-59,-69,-62,-70,1
-64,-61,-54,-67,-74,1
-52,-60,-53,-65,-74,1
-63,-58,-70,-65,-70,1
-64,-58,-69,-62,-70,1
-52,-59,-56,-62,-64,1
-52,-60,-55,-65,-64,1
-56,-60,-53,-65,-70,1
-56,-58,-53,-66,-70,1
-64,-58,-70,-65,-64,1
-57,-60,-56,-67,-64,1
-56,-60,-56,-65,-74,1
-53,-58,-54,-65,-74,1
-53,-58,-53,-67,-64,1
-63,-60,-56,-67,-64,1
-64,-60,-56,-67,-70,1
-53,-58,-54,-67,-74,1
-57,-57,-53,-65,-74,1
-57,-60,-70,-65,-64,1
-64,-60,-70,-66,-64,1
-57,-59,-54,-67,-70,1
-56,-59,-53,-62,-70,1
-64,-59,-54,-62,-70,1
-63,-59,-56,-68,-70,1
-53,-61,-54,-67,-64,1
-52,-59,-53,-62,-64,1
-63,-59,-68,-67,-70,1
-64,-58,-69,-67,-70,1
-53,-57,-54,-62,-64,1
-52,-59,-53,-65,-64,1
-64,-59,-68,-67,-73,1
-64,-58,-69,-67,-64,1
-53,-57,-54,-62,-64,1
-52,-59,-53,-62,-74,1
-64,-59,-69,-67,-74,1
-64,-60,-69,-67,-70,1
-52,-60,-56,-62,-70,1
-52,-59,-54,-62,-64,1
-55,-59,-54,-65,-64,1
-57,-60,-55,-65,-70,1
-56,-60,-68,-65,-69,1
-57,-58,-54,-65,-64,1
-53,-59,-54,-67,-64,1
-52,-59,-69,-64,-74,1
-57,-60,-69,-65,-74,1
-57,-60,-54,-68,-70,1
-57,-59,-54,-62,-70,1
-57,-59,-69,-62,-64,1
-56,-59,-56,-67,-64,1
-53,-60,-56,-67,-70,1
-52,-58,-69,-65,-70,1
-64,-58,-54,-65,-64,1
-64,-60,-53,-67,-71,1
-53,-60,-68,-67,-70,1
-52,-59,-54,-62,-73,1
-63,-59,-54,-65,-74,1
-64,-61,-68,-65,-64,1
-52,-61,-54,-67,-64,1
-52,-58,-53,-67,-74,1
-52,-58,-68,-65,-73,1
-52,-61,-68,-65,-64,1
-64,-61,-53,-62,-64,1
-64,-58,-53,-62,-64,1
-57,-58,-54,-65,-64,1
-57,-61,-54,-65,-70,1
-63,-60,-68,-67,-70,1
-64,-59,-56,-67,-64,1
-57,-59,-54,-65,-70,1
-57,-60,-54,-65,-70,1
-63,-60,-54,-67,-74,1
-63,-58,-54,-62,-74,1
-56,-58,-53,-65,-74,1
-57,-61,-54,-65,-74,1
-64,-60,-54,-66,-70,1
-64,-58,-53,-65,-70,1
-57,-58,-54,-67,-64,1
-56,-59,-54,-66,-70,1
-64,-60,-71,-62,-64,1
-64,-60,-54,-62,-64,1
-53,-58,-54,-66,-70,1
-57,-58,-73,-66,-70,1
-64,-61,-73,-62,-74,1
-64,-60,-54,-62,-74,1
-53,-60,-54,-66,-70,1
-53,-59,-74,-66,-70,1
-56,-61,-75,-67,-74,1
-57,-60,-56,-66,-64,1
-57,-59,-56,-67,-64,1
-63,-59,-76,-66,-74,1
-63,-61,-76,-62,-74,1
-57,-61,-54,-67,-64,1
-57,-59,-75,-66,-64,1
-64,-59,-75,-66,-70,1
-64,-58,-54,-66,-70,1
-53,-58,-54,-67,-64,1
-52,-59,-74,-66,-64,1
-64,-59,-74,-66,-70,1
-64,-59,-54,-62,-74,1
-57,-59,-54,-62,-73,1
-57,-60,-73,-65,-64,1
-64,-60,-74,-66,-64,1
-64,-59,-54,-67,-74,1
-57,-59,-54,-67,-74,1
-57,-60,-54,-66,-70,1
-52,-59,-54,-64,-70,1
-52,-58,-54,-65,-74,1
-63,-58,-72,-67,-74,1
-64,-61,-72,-66,-70,1
-52,-61,-52,-62,-70,1
-63,-59,-56,-67,-74,1
-64,-59,-54,-62,-74,1
-53,-61,-54,-67,-70,1
-52,-61,-56,-62,-70,1
-64,-58,-54,-66,-74,1
-64,-58,-54,-67,-74,1
-53,-60,-71,-62,-64,1
-52,-61,-71,-66,-64,1
-57,-60,-54,-66,-64,1
-57,-59,-56,-66,-64,1
-52,-60,-56,-65,-70,1
-52,-59,-71,-62,-70,1
-65,-59,-54,-62,-64,1
-64,-61,-56,-66,-64,1
-52,-61,-56,-62,-74,1
-52,-59,-54,-62,-74,1
-65,-60,-56,-65,-70,1
-64,-58,-54,-65,-70,1
-52,-58,-54,-65,-74,1
-52,-61,-71,-65,-74,1
-65,-61,-71,-62,-74,1
-64,-58,-56,-62,-74,1
-53,-58,-56,-65,-74,1
-52,-61,-72,-62,-74,1
-56,-61,-71,-62,-64,1
-57,-58,-56,-67,-64,1
-64,-58,-56,-67,-70,1
-57,-60,-56,-67,-70,1
-56,-59,-56,-65,-64,1
-57,-59,-54,-65,-70,1
-53,-59,-53,-62,-70,1
-52,-59,-56,-62,-74,1
-57,-59,-54,-66,-74,1
-57,-58,-54,-67,-64,1
-53,-58,-54,-62,-64,1
-52,-59,-56,-62,-70,1
-57,-59,-72,-67,-70,1
-57,-61,-72,-67,-64,1
-64,-61,-54,-65,-64,1
-64,-60,-53,-65,-74,1
-57,-59,-54,-67,-74,1
-57,-58,-54,-66,-64,1
-53,-58,-54,-62,-64,1
-52,-59,-54,-62,-70,1
-63,-59,-54,-66,-70,1
-64,-60,-55,-66,-64,1
-57,-59,-71,-62,-64,1
-57,-59,-54,-62,-73,1
-64,-61,-54,-65,-74,1
-64,-61,-55,-62,-70,1
-57,-60,-54,-62,-70,1
-57,-59,-54,-66,-74,1
-57,-61,-55,-65,-74,1
-57,-61,-54,-62,-64,1
-64,-59,-54,-62,-64,1
-53,-59,-72,-61,-70,1
-53,-59,-73,-61,-70,1
-64,-58,-54,-66,-64,1
-64,-58,-54,-66,-64,1
-53,-60,-74,-61,-71,1
-64,-61,-74,-66,-70,1
-64,-58,-54,-66,-73,1
-53,-58,-54,-62,-73,1
-63,-59,-56,-62,-70,1
-64,-59,-54,-66,-70,1
-53,-58,-73,-66,-64,1
-53,-58,-54,-61,-64,1
-64,-61,-54,-65,-70,1
-64,-60,-73,-66,-70,1
-53,-59,-73,-61,-64,1
-53,-59,-54,-61,-64,1
-64,-61,-55,-66,-73,1
-53,-61,-54,-61,-74,1
-53,-59,-74,-61,-64,1
-57,-59,-73,-66,-64,1
-56,-61,-56,-66,-73,1
-64,-61,-56,-61,-73,1
-52,-59,-74,-61,-71,1
-64,-59,-73,-66,-70,1
-64,-58,-54,-66,-73,1
-52,-58,-54,-61,-73,1
-52,-59,-74,-61,-73,1
-56,-59,-74,-65,-73,1
-57,-58,-54,-61,-71,1
-63,-60,-56,-61,-70,1
-64,-61,-74,-67,-74,1
-52,-58,-74,-66,-74,1
-52,-61,-54,-65,-71,1
-64,-61,-54,-65,-70,1
-64,-58,-73,-61,-74,1
-57,-58,-74,-61,-74,1
-57,-61,-54,-63,-64,1
-64,-61,-54,-65,-64,1
-64,-59,-54,-62,-74,1
-52,-59,-56,-61,-74,1
-64,-61,-74,-65,-64,1
-55,-61,-54,-65,-64,1
-56,-58,-75,-62,-70,1
-53,-58,-54,-61,-70,1
-53,-60,-54,-65,-74,1
-65,-59,-75,-65,-74,1
-65,-61,-74,-67,-71,1
-53,-61,-54,-67,-70,1
-64,-60,-54,-65,-74,1
-65,-59,-73,-65,-74,1
-53,-60,-73,-62,-74,1
-53,-61,-54,-62,-74,1
-57,-58,-54,-64,-64,1
-55,-58,-71,-62,-64,1
-57,-60,-71,-63,-74,1
-57,-61,-54,-63,-74,1
-53,-58,-54,-63,-70,1
-52,-58,-71,-62,-70,1
-64,-60,-70,-62,-74,1
-64,-60,-54,-66,-74,1
-53,-60,-54,-67,-64,1
-52,-59,-69,-62,-70,1
-64,-59,-54,-62,-70,1
-64,-58,-54,-64,-64,1
-53,-58,-69,-64,-64,1
-52,-60,-69,-68,-70,1
-57,-59,-54,-67,-70,1
-64,-61,-54,-62,-74,1
-64,-59,-71,-62,-74,1
-53,-59,-71,-64,-70,1
-64,-58,-55,-62,-64,1
-57,-58,-57,-62,-74,1
-57,-59,-56,-67,-74,1
-64,-60,-56,-66,-74,1
-64,-61,-55,-62,-74,1
-53,-61,-54,-66,-74,1
-53,-58,-56,-66,-74,1
-57,-58,-54,-62,-70,1
-56,-60,-56,-62,-70,1
-56,-61,-55,-64,-64,1
-53,-59,-56,-62,-64,1
-53,-59,-56,-62,-65,1
-57,-61,-56,-67,-64,1
-53,-61,-56,-66,-70,1
-53,-58,-54,-62,-70,1
-64,-60,-56,-62,-73,1
-64,-59,-55,-66,-73,1
-53,-60,-56,-66,-70,1
-53,-59,-56,-62,-65,1
-57,-59,-56,-64,-74,1
-56,-59,-56,-64,-74,1
-64,-58,-56,-64,-70,1
-64,-58,-68,-63,-70,1
-56,-59,-68,-67,-65,1
-56,-60,-55,-62,-65,1
-64,-61,-54,-64,-70,1
-64,-58,-68,-63,-70,1
-54,-58,-68,-64,-65,1
-57,-61,-68,-64,-65,1
-58,-60,-56,-66,-70,1
-65,-58,-56,-66,-70,1
-65,-57,-54,-62,-74,1
-54,-59,-54,-64,-74,1
-54,-57,-68,-64,-70,1
-65,-57,-56,-66,-70,1
-65,-61,-56,-66,-65,1
-57,-61,-54,-62,-65,1
-57,-58,-54,-67,-70,1
-54,-58,-54,-67,-70,1
-53,-59,-56,-62,-65,1
