Be07,Be08,Be09,Be10,Be11,Sector
-100.0,-96.0,-97.0,-97.0,-99.0,1
-96.0,-93.0,-94.0,-94.0,-97.0,1
-99.0,-94.0,-96.0,-99.0,-95.0,1
-92.0,-91.0,-91.0,-99.0,-93.0,1
-95.0,-96.0,-94.0,-90.0,-92.0,1
-95.0,-95.0,-94.0,-96.0,-97.0,1
-96.0,-97.0,-96.0,-96.0,-97.0,1
-96.0,-96.0,-96.0,-96.0,-97.0,1
-97.0,-96.0,-94.0,-96.0,-95.0,1
-95.0,-95.0,-95.0,-96.0,-96.0,1
-97.0,-96.0,-96.0,-96.0,-94.0,1
-95.0,-95.0,-95.0,-98.0,-95.0,1
-97.0,-97.0,-95.0,-95.0,-94.0,1
-96.0,-94.0,-91.0,-94.0,-93.0,1
-98.0,-96.0,-97.0,-93.0,-96.0,1
-93.0,-99.0,-99.0,-101.0,-109.0,1
-101.0,-101.0,-102.0,-102.0,-101.0,1
-102.0,-98.0,-100.0,-104.0,-97.0,1
-96.0,-97.0,-96.0,-96.0,-101.0,1
-96.0,-99.0,-97.0,-94.0,-95.0,1
-97.0,-97.0,-102.0,-100.0,-97.0,1
-97.0,-97.0,-96.0,-96.0,-97.0,1
-96.0,-97.0,-97.0,-97.0,-103.0,1
-95.0,-95.0,-96.0,-93.0,-93.0,1
-90.0,-88.0,-86.0,-86.0,-87.0,1
-90.0,-89.0,-88.0,-87.0,-88.0,1
-89.0,-88.0,-89.0,-90.0,-88.0,1
-87.0,-87.0,-87.0,-87.0,-85.0,1
-87.0,-87.0,-89.0,-88.0,-89.0,1
-89.0,-89.0,-88.0,-89.0,-88.0,1
-90.0,-87.0,-87.0,-87.0,-87.0,1
-87.0,-87.0,-87.0,-87.0,-87.0,1
-87.0,-86.0,-87.0,-87.0,-87.0,1
-87.0,-87.0,-87.0,-87.0,-87.0,1
-87.0,-87.0,-87.0,-87.0,-87.0,1
-87.0,-88.0,-87.0,-87.0,-87.0,1
-88.0,-86.0,-86.0,-87.0,-86.0,1
-87.0,-87.0,-86.0,-87.0,-88.0,1
-87.0,-87.0,-86.0,-86.0,-87.0,1
-88.0,-89.0,-87.0,-87.0,-87.0,1
-87.0,-87.0,-86.0,-87.0,-86.0,1
-86.0,-86.0,-87.0,-88.0,-91.0,1
-94.0,-87.0,-87.0,-85.0,-89.0,1
-89.0,-86.0,-90.0,-85.0,-87.0,1
