Modelo,Tx=0x01,Tx=0x02,Tx=0x03,Tx=0x04,Tx=0x05,Tx=0x06,Tx=0x07
LoR,10.01,9.64,8.19,8.70,11.09,10.65,14.73
MLP,7.55,6.65,6.99,7.14,7.51,9.09,13.28
LDA,10.01,9.64,8.19,8.77,11.06,10.97,14.73
KNN,9.35,9.56,11.41,9.18,8.42,8.37,9.71
CART,13.83,13.25,13.26,13.71,13.25,11.89,15.40
NB,11.26,10.16,10.07,9.69,12.71,11.61,14.51
SVM,13.83,13.20,13.34,13.71,13.25,11.81,15.63
AB,13.83,13.15,13.31,13.74,13.25,11.89,15.29
GBM,13.64,13.61,13.60,13.68,13.22,11.89,15.96
RF,13.69,13.69,13.10,13.48,13.31,12.29,15.29
ET,13.83,13.25,13.26,13.71,13.25,11.89,15.40
