Modelo,Tx=0x01,Tx=0x02,Tx=0x03,Tx=0x04,Tx=0x05,Tx=0x06,Tx=0x07
LiR,18.18,14.43,14.40,15.54,10.36,15.48,20.52
Lasso,18.76,15.00,13.12,15.54,10.28,14.58,20.79
EN,17.75,14.86,13.05,15.40,10.21,14.66,21.31
KNN,47.78,48.03,48.94,54.22,42.90,54.39,59.65
CART,46.18,46.09,48.04,51.36,41.64,54.61,60.09
SVR,33.09,36.68,39.67,43.90,36.17,47.84,55.46
AB,52.36,52.05,54.37,57.28,49.19,59.08,61.14
GBM,45.09,44.44,43.51,48.36,37.87,49.26,55.37
RF,49.82,48.89,51.81,55.05,43.05,55.73,58.08
ET,50.40,49.46,51.13,54.15,41.72,55.36,59.21
