BLE1,BLE2,BLE3,BLE4,BLE5,PRED
-56.0,-60.0,-56.0,-61.0,-74.0,1.0
-53.0,-59.0,-69.0,-61.0,-70.0,1.0
-53.0,-59.0,-56.0,-65.0,-70.0,1.0
-57.0,-58.0,-56.0,-62.0,-64.0,1.0
-57.0,-57.0,-69.0,-62.0,-64.0,1.0
-53.0,-60.0,-70.0,-67.0,-70.0,1.0
-52.0,-60.0,-53.0,-62.0,-70.0,1.0
-63.0,-56.0,-56.0,-66.0,-63.0,1.0
-64.0,-56.0,-56.0,-66.0,-64.0,1.0
-52.0,-57.0,-56.0,-62.0,-74.0,1.0
-52.0,-59.0,-56.0,-61.0,-74.0,1.0
-64.0,-58.0,-56.0,-67.0,-74.0,1.0
-64.0,-58.0,-56.0,-66.0,-74.0,1.0
-53.0,-59.0,-56.0,-62.0,-70.0,1.0
-52.0,-58.0,-54.0,-62.0,-70.0,1.0
-64.0,-57.0,-70.0,-66.0,-74.0,1.0
-64.0,-60.0,-70.0,-65.0,-74.0,1.0
-53.0,-60.0,-54.0,-67.0,-74.0,1.0
-53.0,-58.0,-53.0,-65.0,-74.0,1.0
-57.0,-60.0,-70.0,-65.0,-70.0,1.0
-57.0,-60.0,-70.0,-67.0,-70.0,1.0
-57.0,-58.0,-53.0,-66.0,-74.0,1.0
-57.0,-58.0,-53.0,-67.0,-74.0,1.0
-53.0,-61.0,-70.0,-62.0,-70.0,1.0
-52.0,-60.0,-70.0,-67.0,-70.0,1.0
-57.0,-59.0,-56.0,-67.0,-73.0,1.0
-55.0,-59.0,-56.0,-62.0,-74.0,1.0
-57.0,-60.0,-54.0,-62.0,-70.0,1.0
-53.0,-60.0,-53.0,-67.0,-70.0,1.0
-52.0,-58.0,-70.0,-67.0,-75.0,1.0
-64.0,-58.0,-70.0,-62.0,-74.0,1.0
-64.0,-61.0,-53.0,-65.0,-74.0,1.0
-53.0,-60.0,-53.0,-65.0,-74.0,1.0
-52.0,-58.0,-56.0,-64.0,-69.0,1.0
-57.0,-57.0,-70.0,-62.0,-70.0,1.0
-57.0,-59.0,-70.0,-62.0,-74.0,1.0
-53.0,-59.0,-54.0,-65.0,-74.0,1.0
-52.0,-59.0,-69.0,-65.0,-70.0,1.0
-64.0,-59.0,-69.0,-62.0,-70.0,1.0
-64.0,-61.0,-54.0,-67.0,-74.0,1.0
-52.0,-60.0,-53.0,-65.0,-74.0,1.0
-63.0,-58.0,-70.0,-65.0,-70.0,1.0
-64.0,-58.0,-69.0,-62.0,-70.0,1.0
-52.0,-59.0,-56.0,-62.0,-64.0,1.0
-52.0,-60.0,-55.0,-65.0,-64.0,1.0
-56.0,-60.0,-53.0,-65.0,-70.0,1.0
-56.0,-58.0,-53.0,-66.0,-70.0,1.0
-64.0,-58.0,-70.0,-65.0,-64.0,1.0
-57.0,-60.0,-56.0,-67.0,-64.0,1.0
-56.0,-60.0,-56.0,-65.0,-74.0,1.0
-53.0,-58.0,-54.0,-65.0,-74.0,1.0
-53.0,-58.0,-53.0,-67.0,-64.0,1.0
-63.0,-60.0,-56.0,-67.0,-64.0,1.0
-64.0,-60.0,-56.0,-67.0,-70.0,1.0
-53.0,-58.0,-54.0,-67.0,-74.0,1.0
-57.0,-57.0,-53.0,-65.0,-74.0,1.0
-57.0,-60.0,-70.0,-65.0,-64.0,1.0
-64.0,-60.0,-70.0,-66.0,-64.0,1.0
-57.0,-59.0,-54.0,-67.0,-70.0,1.0
-56.0,-59.0,-53.0,-62.0,-70.0,1.0
-64.0,-59.0,-54.0,-62.0,-70.0,1.0
-63.0,-59.0,-56.0,-68.0,-70.0,1.0
-53.0,-61.0,-54.0,-67.0,-64.0,1.0
-52.0,-59.0,-53.0,-62.0,-64.0,1.0
-63.0,-59.0,-68.0,-67.0,-70.0,1.0
-64.0,-58.0,-69.0,-67.0,-70.0,1.0
-53.0,-57.0,-54.0,-62.0,-64.0,1.0
-52.0,-59.0,-53.0,-65.0,-64.0,1.0
-64.0,-59.0,-68.0,-67.0,-73.0,1.0
-64.0,-58.0,-69.0,-67.0,-64.0,1.0
-53.0,-57.0,-54.0,-62.0,-64.0,1.0
-52.0,-59.0,-53.0,-62.0,-74.0,1.0
-64.0,-59.0,-69.0,-67.0,-74.0,1.0
-64.0,-60.0,-69.0,-67.0,-70.0,1.0
-52.0,-60.0,-56.0,-62.0,-70.0,1.0
-52.0,-59.0,-54.0,-62.0,-64.0,1.0
-55.0,-59.0,-54.0,-65.0,-64.0,1.0
-57.0,-60.0,-55.0,-65.0,-70.0,1.0
-56.0,-60.0,-68.0,-65.0,-69.0,1.0
-57.0,-58.0,-54.0,-65.0,-64.0,1.0
-53.0,-59.0,-54.0,-67.0,-64.0,1.0
-52.0,-59.0,-69.0,-64.0,-74.0,1.0
-57.0,-60.0,-69.0,-65.0,-74.0,1.0
-57.0,-60.0,-54.0,-68.0,-70.0,1.0
-57.0,-59.0,-54.0,-62.0,-70.0,1.0
-57.0,-59.0,-69.0,-62.0,-64.0,1.0
-56.0,-59.0,-56.0,-67.0,-64.0,1.0
-53.0,-60.0,-56.0,-67.0,-70.0,1.0
-52.0,-58.0,-69.0,-65.0,-70.0,1.0
-64.0,-58.0,-54.0,-65.0,-64.0,1.0
-64.0,-60.0,-53.0,-67.0,-71.0,1.0
-53.0,-60.0,-68.0,-67.0,-70.0,1.0
-52.0,-59.0,-54.0,-62.0,-73.0,1.0
-63.0,-59.0,-54.0,-65.0,-74.0,1.0
-64.0,-61.0,-68.0,-65.0,-64.0,1.0
-52.0,-61.0,-54.0,-67.0,-64.0,1.0
-52.0,-58.0,-53.0,-67.0,-74.0,1.0
-52.0,-58.0,-68.0,-65.0,-73.0,1.0
-52.0,-61.0,-68.0,-65.0,-64.0,1.0
-64.0,-61.0,-53.0,-62.0,-64.0,1.0
-64.0,-58.0,-53.0,-62.0,-64.0,1.0
-57.0,-58.0,-54.0,-65.0,-64.0,1.0
-57.0,-61.0,-54.0,-65.0,-70.0,1.0
-63.0,-60.0,-68.0,-67.0,-70.0,1.0
-64.0,-59.0,-56.0,-67.0,-64.0,1.0
-57.0,-59.0,-54.0,-65.0,-70.0,1.0
-57.0,-60.0,-54.0,-65.0,-70.0,1.0
-63.0,-60.0,-54.0,-67.0,-74.0,1.0
-63.0,-58.0,-54.0,-62.0,-74.0,1.0
-56.0,-58.0,-53.0,-65.0,-74.0,1.0
-57.0,-61.0,-54.0,-65.0,-74.0,1.0
-64.0,-60.0,-54.0,-66.0,-70.0,1.0
-64.0,-58.0,-53.0,-65.0,-70.0,1.0
-57.0,-58.0,-54.0,-67.0,-64.0,1.0
-56.0,-59.0,-54.0,-66.0,-70.0,1.0
-64.0,-60.0,-71.0,-62.0,-64.0,1.0
-64.0,-60.0,-54.0,-62.0,-64.0,1.0
-53.0,-58.0,-54.0,-66.0,-70.0,1.0
-57.0,-58.0,-73.0,-66.0,-70.0,1.0
-64.0,-61.0,-73.0,-62.0,-74.0,1.0
-64.0,-60.0,-54.0,-62.0,-74.0,1.0
-53.0,-60.0,-54.0,-66.0,-70.0,1.0
-53.0,-59.0,-74.0,-66.0,-70.0,1.0
-56.0,-61.0,-75.0,-67.0,-74.0,1.0
-57.0,-60.0,-56.0,-66.0,-64.0,1.0
-57.0,-59.0,-56.0,-67.0,-64.0,1.0
-63.0,-59.0,-76.0,-66.0,-74.0,1.0
-63.0,-61.0,-76.0,-62.0,-74.0,1.0
-57.0,-61.0,-54.0,-67.0,-64.0,1.0
-57.0,-59.0,-75.0,-66.0,-64.0,1.0
-64.0,-59.0,-75.0,-66.0,-70.0,1.0
