Modelo,Metric_05,Metric_01,Metric_02,Metric_04,Metric_03,Metric_06,Metric_07,Tx_05,Tx_01,Tx_02,Tx_04,Tx_03,Tx_06,Tx_07
LoR,0.9166642815,0.678392816,0.626375614,0.598893013,0.657309004,0.3787417747,0.3108067482,0.7144970414,0.7330909091,0.7688442211,0.7756097561,0.8009049774,0.8556547619,0.8951965066
MLP,0.9247261178,0.6788630236,0.624613518,0.5991054621,0.6387342898,0.3798127222,0.3162152165,0.7122781065,0.7345454545,0.7652548457,0.7742160279,0.8054298643,0.8601190476,0.8934497817
LDA,0.9172480785,0.6684177769,0.6203440168,0.6105891791,0.6730002455,0.4007684565,0.3283111382,0.7159763314,0.7432727273,0.7666905958,0.7735191638,0.7941176471,0.8549107143,0.8908296943
KNN,0.9220133513,0.6721078171,0.6216677426,0.5959725546,0.6552225868,0.3724779827,0.3128986633,0.7167159763,0.736,0.7638190955,0.7735191638,0.7993966818,0.8630952381,0.8969432314
CART,0.9193579737,0.6691510411,0.6410823585,0.6097773528,0.6599574647,0.3833428592,0.3240156539,0.7130177515,0.7338181818,0.7580760948,0.7742160279,0.8001508296,0.8608630952,0.8925764192
NB,0.880779519,0.6628827294,0.6072516974,0.6066522753,0.6409789227,0.4078833966,0.3079674095,0.7226331361,0.7418181818,0.768126346,0.7700348432,0.8039215686,0.8526785714,0.8978165939
SVM,0.9456069748,0.6632222327,0.6321897954,0.6067808723,0.6524201322,0.4098171361,0.3111820714,0.7093195266,0.7418181818,0.7595118449,0.7707317073,0.8009049774,0.8541666667,0.8969432314
AB,0.9205234566,0.6949491376,0.6192424563,0.6093789135,0.6458092855,0.3806164258,0.3085977912,0.7130177515,0.7301818182,0.7666905958,0.7679442509,0.8009049774,0.8616071429,0.896069869
GBM,0.9322817429,0.6741981206,0.63304893,0.5902805937,0.6455183463,0.3863293333,0.3185912255,0.7137573965,0.7338181818,0.7645369706,0.7756097561,0.802413273,0.8623511905,0.8943231441
RF,0.8803019652,0.6481100906,0.6339430389,0.5971076168,0.6449001093,0.3928458753,0.3018443135,0.7196745562,0.7476363636,0.7595118449,0.7728222997,0.8031674208,0.8578869048,0.8978165939
ET,0.886552462,0.6608550961,0.6219028919,0.6062672951,0.6563838438,0.3911856399,0.3084544415,0.7189349112,0.7381818182,0.7631012204,0.768641115,0.7978883861,0.8571428571,0.8978165939
LiR,0.932496446,0.6811450535,0.6258880008,0.585310678,0.6571019291,0.3984652922,0.3283203159,0.7122781065,0.7338181818,0.7631012204,0.7728222997,0.802413273,0.8563988095,0.8908296943
LASSO,0.9299169417,0.6647262308,0.6183569707,0.6114687318,0.657198613,0.4144929959,0.3196743362,0.7115384615,0.7425454545,0.7631012204,0.7665505226,0.8016591252,0.8504464286,0.8934497817
EN,0.9110210633,0.6738007087,0.6205611828,0.5858033948,0.6502156686,0.4065381218,0.328312662,0.7122781065,0.736,0.7645369706,0.774912892,0.802413273,0.853422619,0.8943231441
KNN,0.9301167551,0.6767838789,0.6411027137,0.6102050843,0.6435684859,0.4008615511,0.327107755,0.7085798817,0.7396363636,0.7573582197,0.7679442509,0.8061840121,0.8541666667,0.8908296943
CART,0.9258954436,0.6617166591,0.6471029116,0.6023711066,0.6652448135,0.3864204393,0.3282136619,0.7115384615,0.7381818182,0.7609475951,0.7721254355,0.802413273,0.8586309524,0.8908296943
SVR,0.9431470225,0.6662068473,0.614260012,0.6028870201,0.6644242084,0.3844208002,0.3165289448,0.7078402367,0.7389090909,0.7652548457,0.7735191638,0.7971342383,0.8608630952,0.8943231441
AB,0.9240635617,0.6479871568,0.6216086228,0.6103166291,0.6600884206,0.3864501635,0.3017938505,0.7130177515,0.7432727273,0.7631012204,0.7728222997,0.8009049774,0.8571428571,0.8951965066
GBM,0.8952391222,0.6723679441,0.6257404554,0.588645582,0.6541338079,0.3727686495,0.3146186594,0.7189349112,0.736,0.7638190955,0.7735191638,0.802413273,0.8645833333,0.8934497817
RF,0.8823599081,0.654995542,0.626748423,0.5897263484,0.6366944304,0.3961766563,0.3200433001,0.7211538462,0.7403636364,0.7623833453,0.7756097561,0.8046757164,0.8556547619,0.8908296943
ET,0.8928836257,0.6683012572,0.6479960679,0.6105359317,0.6510446284,0.38523831,0.3204748546,0.7174556213,0.7381818182,0.7609475951,0.768641115,0.8001508296,0.8578869048,0.8925764192
